,No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest
2459,6018,14,B,Acer saccharum,0.074,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.05,1.0,-0.13,10.24,10.73,14,49.0,1.0,X
2460,6021,14,B,Acer saccharum,0.074,Low,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.47,1.0,-0.63,13.61,11.92,14,49.0,1.0,X
2461,6110,15,A,Quercus rubra,0.087,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,22.29,1.0,3.35,24.9,14.95,14,49.0,1.0,X
2462,6913,17,A,Quercus rubra,0.095,Med,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,9.16,0.0,3.54,24.58,15.24,33,115.5,0.0,X
2463,6914,17,A,Quercus alba,0.095,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,27.61,0.0,4.99,19.34,20.79,33,115.5,0.0,X
2464,6117,15,C,Acer saccharum,0.103,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,14.91,1.0,-0.15,13.51,12.15,14,49.0,1.0,X
2465,6128,15,A,Acer saccharum,0.087,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.72,1.0,-0.08,13.88,12.21,14,49.0,1.0,X
2466,6198,15,A,Acer saccharum,0.087,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.08,1.0,0.0,13.87,12.17,14,49.0,1.0,X
2467,6923,17,C,Quercus rubra,0.122,High,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,14.89,0.0,3.74,24.28,16.16,33,115.5,0.0,X
2468,6240,15,C,Acer saccharum,0.103,Med,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/1/18,22.43,1.0,0.37,12.63,12.1,14,49.0,1.0,X
2469,6247,15,A,Acer saccharum,0.087,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.08,1.0,0.0,13.87,12.17,14,49.0,1.0,X
2470,6929,17,C,Quercus alba,0.122,High,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,5/22/18,9.9,0.0,5.26,21.29,18.43,33,115.5,0.0,X
2471,6297,15,D,Acer saccharum,0.086,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.37,1.0,-0.03,13.92,12.05,14,49.0,1.0,X
2472,6304,15,B,Acer saccharum,0.11,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.7,1.0,-0.01,13.01,12.08,14,49.0,1.0,X
2473,6351,15,D,Acer saccharum,0.086,Med,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,6/1/18,18.1,1.0,0.48,13.62,12.36,14,49.0,1.0,X
2474,6944,17,C,Quercus rubra,0.122,High,2016,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,20.76,0.0,3.97,21.96,17.34,33,115.5,0.0,X
2475,6377,15,B,Acer saccharum,0.11,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/6/18,17.7,1.0,-0.01,13.01,12.08,14,49.0,1.0,X
2476,6946,17,C,Quercus alba,0.122,High,2016,Sterile,415,Sterile,Sterilized,EMF,Sterile,5/17/18,15.11,1.0,4.14,19.76,20.15,19,66.5,1.0,X
2477,6386,15,D,Acer saccharum,0.086,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.37,1.0,-0.03,13.92,12.05,14,49.0,1.0,X
2478,6402,15,D,Acer saccharum,0.086,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.06,1.0,-0.01,13.73,12.05,14,49.0,1.0,X
2479,6478,15,D,Quercus rubra,0.086,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,18.65,1.0,3.71,19.82,19.29,14,49.0,1.0,X
2480,6518,16,A,Acer saccharum,0.122,High,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,6/1/18,20.67,1.0,0.44,13.41,12.45,14,49.0,1.0,X
2481,6622,16,C,Acer saccharum,0.133,High,2016,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.54,1.0,0.46,13.77,12.5,14,49.0,1.0,X
2482,6638,16,C,Acer saccharum,0.133,High,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,13.3,1.0,-0.19,13.21,12.23,14,49.0,1.0,X
2483,6967,17,A,Quercus rubra,0.095,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,25.61,0.0,3.34,24.56,14.94,33,115.5,0.0,X
2484,6691,16,C,Acer saccharum,0.133,High,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,13.3,1.0,-0.19,13.21,12.23,14,49.0,1.0,X
2485,6726,16,D,Acer saccharum,0.133,High,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.54,1.0,0.46,13.77,12.5,14,49.0,1.0,X
2486,6972,17,A,Quercus alba,0.095,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.59,0.0,4.68,17.67,23.69,33,115.5,0.0,X
2487,6735,16,B,Acer saccharum,0.105,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.04,1.0,0.5,13.96,12.51,14,49.0,1.0,X
2488,6738,16,B,Acer saccharum,0.105,Med,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.04,1.0,0.5,13.96,12.51,14,49.0,1.0,X
2489,6775,16,B,Acer saccharum,0.105,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,16.18,1.0,-0.1,13.27,12.23,14,49.0,1.0,X
2490,6811,16,B,Quercus rubra,0.105,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,25.13,1.0,3.4,24.34,15.45,14,49.0,1.0,X
2491,6980,17,C,Quercus rubra,0.122,High,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,24.29,0.0,3.92,26.86,15.13,33,115.5,0.0,X
2492,6823,16,B,Acer saccharum,0.105,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.35,1.0,-0.06,13.5,12.21,14,49.0,1.0,X
2493,6839,16,D,Acer saccharum,0.133,High,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,13.3,1.0,-0.19,13.21,12.23,14,49.0,1.0,X
2494,6987,17,A,Quercus alba,0.095,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,27.61,0.0,4.99,19.34,20.79,33,115.5,0.0,X
2495,6907,16,D,Acer saccharum,0.133,High,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.04,1.0,-0.1,13.25,12.26,14,49.0,1.0,X
2496,6951,17,A,Acer saccharum,0.095,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.13,1.0,-0.04,13.42,12.09,14,49.0,1.0,X
2497,6985,17,A,Acer saccharum,0.095,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.13,1.0,-0.04,13.42,12.09,14,49.0,1.0,X
2498,7095,17,A,Acer saccharum,0.095,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,14.43,1.0,-0.16,13.64,12.11,14,49.0,1.0,X
2499,7100,17,E,Acer saccharum,0.094,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,16.59,1.0,-0.06,13.55,12.12,14,49.0,1.0,X
2500,7103,17,E,Acer saccharum,0.094,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,16.59,1.0,-0.06,13.55,12.12,14,49.0,1.0,X
2501,7006,17,A,Quercus alba,0.095,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.59,0.0,4.68,17.67,23.69,33,115.5,0.0,X
2502,7009,17,A,Quercus rubra,0.095,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,25.81,0.0,3.81,26.89,14.77,33,115.5,0.0,X
2503,7154,17,E,Quercus rubra,0.094,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.41,1.0,3.83,21.01,18.05,14,49.0,1.0,X
2504,7012,17,C,Quercus rubra,0.122,High,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,17.23,0.0,3.58,23.29,16.48,33,115.5,0.0,X
2505,7175,17,D,Acer saccharum,0.118,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/1/18,20.89,1.0,0.47,13.5,12.44,14,49.0,1.0,X
2506,7178,17,D,Acer saccharum,0.118,Med,2017,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,6/1/18,20.89,1.0,0.47,13.5,12.44,14,49.0,1.0,X
2507,7296,17,B,Acer saccharum,0.111,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.9,1.0,-0.03,12.9,12.09,14,49.0,1.0,X
2508,7034,17,C,Quercus alba,0.122,High,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,15.11,0.0,4.14,19.76,20.15,33,115.5,0.0,X
2509,7342,17,D,Acer saccharum,0.118,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.34,1.0,-0.09,12.82,12.0,14,49.0,1.0,X
2510,7375,18,C,Acer saccharum,0.14,High,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/1/18,17.8,1.0,0.38,14.0,12.77,14,49.0,1.0,X
2511,7376,18,C,Acer saccharum,0.14,High,2016,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,6/1/18,17.8,1.0,0.38,14.0,12.77,14,49.0,1.0,X
2512,7394,18,C,Acer saccharum,0.14,High,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,6/1/18,11.36,1.0,0.19,13.86,12.47,14,49.0,1.0,X
2513,7413,18,C,Acer saccharum,0.14,High,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.07,1.0,0.08,13.95,12.52,14,49.0,1.0,X
2514,7431,18,C,Acer saccharum,0.14,High,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,16.08,1.0,-0.03,13.7,12.82,14,49.0,1.0,X
2515,7473,18,A,Acer saccharum,0.141,High,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/1/18,17.94,1.0,0.24,14.15,12.82,14,49.0,1.0,X
2516,7536,18,C,Acer saccharum,0.14,High,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,6/1/18,11.36,1.0,0.19,13.86,12.47,14,49.0,1.0,X
2517,7558,18,C,Acer saccharum,0.14,High,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.07,1.0,0.08,13.95,12.52,14,49.0,1.0,X
2518,7582,18,B,Acer saccharum,0.138,High,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.77,1.0,-0.03,13.68,12.85,14,49.0,1.0,X
2519,7066,17,C,Prunus serotina,0.122,High,2017,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,6/7/18,42.4,0.0,0.61,10.19,13.54,33,115.5,0.0,X
2520,7589,18,E,Acer saccharum,0.148,High,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,18.18,1.0,0.21,14.51,12.56,14,49.0,1.0,X
2521,7622,18,B,Quercus rubra,0.138,High,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18.95,1.0,3.46,20.28,19.72,14,49.0,1.0,X
2522,7627,18,D,Quercus rubra,0.161,High,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.76,1.0,2.91,27.27,12.23,14,49.0,1.0,X
2523,7093,17,A,Quercus alba,0.095,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,12.59,0.0,4.68,17.67,23.69,33,115.5,0.0,X
2524,7651,18,B,Acer saccharum,0.138,High,2016,Sterile,1330,Sterile,Sterilized,AMF,Sterile,6/1/18,11.07,1.0,0.16,14.32,12.46,14,49.0,1.0,X
2525,7666,18,D,Acer saccharum,0.161,High,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,6/1/18,18.42,1.0,0.3,13.78,12.74,14,49.0,1.0,X
2526,7667,18,D,Acer saccharum,0.161,High,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,18.3,1.0,0.25,14.38,12.6,14,49.0,1.0,X
2527,7694,18,B,Acer saccharum,0.138,High,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.77,1.0,-0.03,13.68,12.85,14,49.0,1.0,X
2528,7713,18,B,Acer saccharum,0.138,High,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.77,1.0,-0.03,13.68,12.85,14,49.0,1.0,X
2529,7757,18,D,Acer saccharum,0.161,High,2016,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,6/1/18,18.42,1.0,0.3,13.78,12.74,14,49.0,1.0,X
2530,198,1,C,Quercus rubra,0.106,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,25.4,1.0,3.79,26.69,14.65,15,52.5,1.0,X
2531,283,1,D,Quercus rubra,0.107,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,14.3,1.0,3.69,19.45,19.79,15,52.5,1.0,X
2532,7119,17,E,Quercus alba,0.094,Med,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/17/18,7.91,0.0,3.44,19.44,19.38,33,115.5,0.0,X
2533,578,2,A,Quercus rubra,0.083,Med,2016,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,21.04,1.0,3.82,21.04,18.03,15,52.5,1.0,X
2534,711,2,B,Quercus rubra,0.082,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,20.73,1.0,2.58,24.61,11.98,15,52.5,1.0,X
2535,7126,17,C,Quercus rubra,0.122,High,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,14.89,1.0,3.74,24.28,16.16,17,59.5,1.0,X
2536,7128,17,C,Prunus serotina,0.122,High,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,54.36,1.0,1.06,8.6,11.99,17,59.5,1.0,X
2537,1074,3,C,Quercus alba,0.103,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,13.9,1.0,4.71,17.55,24.28,15,52.5,1.0,X
2538,7142,17,D,Quercus rubra,0.118,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18.02,0.0,3.59,23.47,16.34,33,115.5,0.0,X
2539,7143,17,D,Quercus alba,0.118,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,22.62,0.0,5.22,18.79,24.0,33,115.5,0.0,X
2540,7144,17,D,Quercus rubra,0.118,Med,2017,Quercus rubra,1688,Non-Sterile,Conspecific,EMF,EMF,5/24/18,20.73,0.0,4.08,25.44,15.57,33,115.5,0.0,X
2541,1142,3,B,Quercus alba,0.082,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,23.53,1.0,5.01,19.39,20.67,15,52.5,1.0,X
2542,7150,17,B,Quercus alba,0.111,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,23.12,1.0,5.11,18.4,22.88,21,73.5,1.0,X
2543,7152,17,B,Quercus rubra,0.111,Med,2017,Quercus rubra,921,Non-Sterile,Conspecific,EMF,EMF,5/24/18,17.78,1.0,3.97,21.92,17.54,21,73.5,1.0,X
2544,1310,4,C,Acer saccharum,0.079,Med,2016,Sterile,1330,Sterile,Sterilized,AMF,Sterile,6/11/18,9.58,1.0,-0.04,12.96,12.45,15,52.5,1.0,X
2545,7155,17,E,Quercus rubra,0.094,Med,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,5/24/18,23.08,0.0,3.65,25.91,14.77,33,115.5,0.0,X
2546,7157,17,E,Quercus alba,0.094,Med,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/17/18,7.91,0.0,3.44,19.44,19.38,33,115.5,0.0,X
2547,1325,4,C,Acer saccharum,0.079,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.78,1.0,-0.65,14.27,12.12,15,52.5,1.0,X
2548,7164,17,D,Quercus rubra,0.118,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,35.35,0.0,3.96,25.79,15.36,33,115.5,0.0,X
2549,1381,4,C,Acer saccharum,0.079,Med,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,6/11/18,9.58,1.0,-0.04,12.96,12.45,15,52.5,1.0,X
2550,1508,4,C,Acer saccharum,0.079,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.78,1.0,-0.65,14.27,12.12,15,52.5,1.0,X
2551,1649,4,D,Acer saccharum,0.073,Low,2017,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.62,1.0,-0.71,13.98,11.83,15,52.5,1.0,X
2552,7173,17,B,Quercus rubra,0.111,Med,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,33.04,0.0,3.87,25.86,15.22,33,115.5,0.0,X
2553,1657,4,B,Acer saccharum,0.076,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,21.85,1.0,-0.66,14.09,11.88,15,52.5,1.0,X
